Start	Width	Field_Name
1	35	Owner_1
36	35	Owner_2
492	4	Effective_Year
488	4	Year_of_Addition
71	35	Mailing_Address_1
496	4	Remodeled_Year
106	35	Mailing_Address_2
500	2	Unused
141	35	Mailing_Address_3
502	8	Special_Write_In
176	7	Real_Estate_ID
510	1	Story_Height
183	3	Card_Number
511	1	Design_Style
186	3	Number_of_Cards
512	1	Foundation_Basement
189	6	Street_Number
513	2	Foundation_Basement_percent
195	2	Street_Prefix
515	1	Exterior_Wall
197	25	Street_Name
516	1	Common_Wall
222	4	Street_Type
517	1	Roof
226	2	Street_Suffix
518	1	Roof_Floor_System
228	2	Planning_Jurisdiction
519	1	Floor_Finish
230	5	Street_Misc
520	1	Interior_Finish
235	2	Township
521	1	Interior_Finish_1
237	2	Fire_District
522	2	Interior_Finish_1_percent
239	12	Land_Sale_Price
524	1	Interior_Finish_2
251	10	Land_Sale_Date
525	2	Interior_Finish_2_percent
261	5	Zoning
527	1	Heat
266	8	Deeded_Acreage
528	2	Heat_percent
274	11	Total_Sale_Price
530	1	Air
285	10	Total_Sale_Date
531	2	Air_percent
295	11	Assessed_Building_Value
533	1	Bath
306	11	Assessed_Land_Value
534	3	Bath_Fixtures
317	19	Parcel_Identification
537	15	Built_In_1_Description
336	3	Special_District_1
552	15	Built_In_2_Description
339	3	Special_District_2
567	15	Built_In_3_Description
342	3	Special_District_3
582	15	Built_In_4_Description
345	1	Billing_Class
597	15	Built_In_5_Description
346	40	Property_Description
612	3	City
386	1	Land_Classification
615	5	Grade
387	6	Deed_Book
620	3	Assessed_Grade_Difference
393	6	Deed_Page
623	3	Accrued_Assessed_Condition_precent
399	10	Deed_Date_yyyy_mm_dd
626	1	Land_Deferred_Code
409	7	VCS_Neighborhood_num
627	9	Land_Deferred_Amount
416	40	Property_Index
636	1	Historic_Deferred_Code
456	4	Year_Built
637	9	Historic_Deferred_Amount
460	6	#_of_Rooms
646	6	Recycled_Units
466	6	Units
652	1	Disqualifying_&_Qualifying_Flags
472	11	Heated_Area
653	1	Land_Disqualify_&_Qualify_Flag
483	3	Utilities
654	3	Type_&_Use
486	1	Street_Pavement
657	50	Physical_City
487	1	Topography
707	5	Physical_Zip_Code